Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Social Generosity
103,Congo (Brazzaville),1.5711127981124324,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,0.083895
104,Gabon,1.5684075628761083,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,0.050869
105,Laos,1.5677822371652679,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,0.27398
106,South Africa,1.552232438663321,0.96,1.351,0.469,0.389,0.13,0.055,0.17563
107,Albania,1.5515969127442504,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,0.15094400000000002
108,Venezuela,1.5490507624190053,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,0.09132799999999999
109,Cambodia,1.547562508716013,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,0.260304
110,Palestinian Territories,1.5467110825257955,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,0.12844100000000003
111,Senegal,1.5435117623179335,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,0.17350200000000002
112,Somalia,1.5407307144243096,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,0.169614
113,Namibia,1.5344988257696064,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,0.09191000000000002
114,Niger,1.5321248093314301,0.138,0.774,0.366,0.318,0.188,0.102,0.145512
115,Burkina Faso,1.523226215615035,0.331,1.056,0.38,0.255,0.177,0.113,0.186912
116,Armenia,1.5171033012313044,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,0.100225
117,Iran,1.5146875758882896,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,0.22734000000000004
118,Guinea,1.5116045520853372,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,0.171603
119,Georgia,1.5082907304291426,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,0.028637999999999993
120,Gambia,1.5076266462874155,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,0.25259099999999995
121,Kenya,1.506075399438947,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,0.36567600000000006
122,Mauritania,1.501852701754163,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,0.123702
123,Mozambique,1.4964931534179662,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,0.19424199999999997
124,Tunisia,1.4953729561461278,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,0.059000000000000004
125,Bangladesh,1.494251502624983,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,0.154048
126,Iraq,1.4899784723967724,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,0.14504000000000003
127,Congo (Kinshasa),1.4856871049979254,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,0.2385
128,Mali,1.47932922708708,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,0.169065
129,Sierra Leone,1.475677922254576,0.268,0.841,0.242,0.309,0.252,0.045,0.21193199999999998
130,Sri Lanka,1.4738472581277522,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,0.30866
131,Myanmar,1.472472057360943,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,0.6684460000000001
132,Chad,1.4701758451005926,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,0.151668
133,Ukraine,1.466029329138744,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,0.25993
134,Ethiopia,1.4553538970513853,0.336,1.033,0.532,0.344,0.209,0.1,0.21589699999999998
135,Swaziland,1.437937594271729,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,0.08502600000000002
136,Uganda,1.432462041964898,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,0.269388
137,Egypt,1.4269563428387804,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,0.078964
138,Zambia,1.4126928349744217,0.578,1.058,0.426,0.431,0.247,0.087,0.261326
139,Togo,1.4073217283119661,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,0.101244
140,India,1.3900373473987249,0.755,0.765,0.588,0.498,0.2,0.085,0.15300000000000002
141,Liberia,1.3800247481062953,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,0.21482600000000002
142,Comoros,1.379521476832462,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,0.20817500000000003
143,Madagascar,1.3694024934496725,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,0.15480399999999997
144,Lesotho,1.3355272440662374,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,0.125083
145,Burundi,1.328400382700988,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,0.078672
146,Zimbabwe,1.2982824837966773,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,0.168214
147,Haiti,1.2801001647134869,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,0.288272
148,Botswana,1.2493285060467332,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,0.028625
149,Syria,1.2418464567540175,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,0.12511799999999998
150,Malawi,1.2267122912954254,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,0.12208000000000001
151,Yemen,1.2178757094949273,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,0.12560400000000002
152,Rwanda,1.204172784328602,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,0.15428699999999998
153,Tanzania,1.1727916868423613,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,0.24426000000000003
154,Afghanistan,1.1640878706270212,0.35,0.517,0.361,0.0,0.158,0.025,0.08168600000000001
155,Central African Republic,1.1259031489040134,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,0.0
156,South Sudan,1.048371072231363,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,0.11614999999999999
